Timestamp,Heart Rate
1699096655239,83.51
1699096665239,73.47
1699096675239,77.92
1699096685239,76.11
1699096695239,71.58
1699096705239,71.74
1699096715239,78.09
1699096725239,75.0
1699096735239,75.0
1699096745239,73.77
1699096755239,74.84
1699096765239,82.8
1699096775239,81.59
1699096785239,72.37
1699096795239,86.42
1699096805239,85.54
1699096815239,74.69
1699096825239,76.27
1699096835239,77.25
1699096845239,87.32
1699096855239,85.54
1699096865239,77.09
1699096875239,74.49
1699096885239,77.75
1699096895239,79.92
1699096905239,81.59
1699096915239,76.6
1699096925239,79.12
1699096935239,67.26
1699096945239,82.63
1699096955239,83.51
1699096965239,84.05
1699096975239,75.31
1699096985239,75.63
1699096995239,77.25
1699097005239,85.89
1699097015239,83.33
1699097025239,78.43
1699097035239,73.77
1699097045239,77.25
1699097055239,82.28
1699097065239,75.31
1699097075239,85.15
1699097085239,78.26
1699097095239,84.97
1699097105239,78.95
1699097115239,76.27
1699097125239,73.92
1699097135239,79.59
1699097145239,72.21
1699097155239,83.69
1699097165239,70.36
1699097175239,76.11
1699097185239,81.25
1699097195239,74.07
1699097205239,78.09
1699097215239,80.75
1699097225239,78.6
1699097235239,79.82
1699097245239,74.23
1699097255239,63.03
1699097265239,81.26
1699097275239,80.58
1699097285239,78.09
1699097295239,74.83
1699097305239,82.98
1699097315239,81.08
1699097325239,84.78
1699097335239,81.76
1699097345239,75.63
1699097355239,79.59
1699097365239,79.65
1699097375239,78.77
1699097385239,69.18
1699097395239,87.14
1699097405239,85.53
1699097415239,81.25
1699097425239,72.69
1699097435239,83.16
1699097445239,80.41
1699097455239,79.65
1699097465239,77.42
1699097475239,81.93
1699097485239,78.95
1699097495239,84.97
1699097505239,79.75
1699097515239,77.42
1699097525239,79.92
1699097535239,75.31
1699097545239,80.58
1699097555239,72.69
1699097565239,75.79
1699097575239,87.64
1699097585239,89.55
1699097595239,83.87
1699097605239,74.38
1699097615239,80.0
1699097625239,92.4
1699097635239,87.68
1699097645239,78.6
1699097655239,83.69
1699097665239,78.26
1699097675239,80.91
1699097685239,84.97
1699097695239,75.63
1699097705239,73.66
1699097715239,77.92
1699097725239,79.3
1699097735239,73.33
1699097745239,81.59
1699097755239,82.0
1699097765239,82.8
1699097775239,79.82
1699097785239,81.82
1699097795239,82.8
1699097805239,78.95
1699097815239,64.52
1699097825239,76.76
1699097835239,81.93
1699097845239,78.77
1699097855239,80.75
1699097865239,81.93
1699097875239,80.25
1699097885239,78.26
1699097895239,75.0
1699097905239,76.27
1699097915239,77.92
1699097925239,76.92
1699097935239,79.92
1699097945239,74.53
1699097955239,91.11
1699097965239,80.18
1699097975239,75.17
1699097985239,76.27
1699097995239,77.09
1699098005239,84.23
1699098015239,81.08
1699098025239,78.6
1699098035239,85.9
1699098045239,82.63
1699098055239,78.79
1699098065239,82.63
1699098075239,80.41
1699098085239,68.89
1699098095239,70.51
1699098105239,80.91
1699098115239,82.98
1699098125239,84.97
1699098135239,81.76
1699098145239,76.76
1699098155239,77.42
1699098165239,86.78
1699098175239,79.92
1699098185239,64.94
1699098195239,77.09
1699098205239,86.09
1699098215239,78.09
1699098225239,70.97
