Timestamp,RR_HR,BCG_HR
2023-11-04 19:12:25,97.0,76.27
2023-11-04 19:12:35,101.0,81.25
2023-11-04 19:12:45,95.0,77.75
2023-11-04 19:12:55,93.0,82.45
2023-11-04 19:13:05,92.0,81.42
2023-11-04 19:13:15,94.0,78.26
2023-11-04 19:13:25,92.0,86.67
2023-11-04 19:13:35,94.0,87.14
2023-11-04 19:13:45,98.0,80.41
2023-11-04 19:13:55,99.0,84.78
2023-11-04 19:14:05,96.0,73.5
2023-11-04 19:14:15,95.0,77.92
2023-11-04 19:14:25,88.0,84.23
2023-11-04 19:14:35,92.0,74.53
2023-11-04 19:14:55,91.0,79.75
2023-11-04 19:15:05,92.0,83.87
2023-11-04 19:15:15,99.0,80.91
2023-11-04 19:15:25,89.0,73.62
2023-11-04 19:15:35,85.0,83.16
2023-11-04 19:15:45,87.0,82.98
2023-11-04 19:15:55,89.0,73.99
2023-11-04 19:16:05,89.0,76.43
2023-11-04 19:16:15,91.0,87.5
2023-11-04 19:16:25,93.0,76.21
2023-11-04 19:16:35,88.0,87.05
2023-11-04 19:16:45,88.0,76.11
2023-11-04 19:16:55,87.0,82.98
2023-11-04 19:17:05,96.0,78.95
2023-11-04 19:17:25,96.0,80.91
2023-11-04 19:17:35,87.0,91.11
2023-11-04 19:17:45,92.0,81.59
2023-11-04 19:17:55,89.0,82.63
2023-11-04 19:18:05,86.0,89.36
2023-11-04 19:18:15,90.0,82.28
2023-11-04 19:18:25,95.0,90.71
2023-11-04 19:18:35,94.0,89.74
2023-11-04 19:18:45,97.0,81.76
2023-11-04 19:18:55,100.0,80.41
2023-11-04 19:19:05,100.0,78.26
2023-11-04 19:19:15,98.0,88.98
2023-11-04 19:19:25,96.0,80.36
2023-11-04 19:19:35,97.0,75.95
2023-11-04 19:19:55,97.0,74.07
2023-11-04 19:20:05,105.0,82.45
2023-11-04 19:20:15,97.0,88.42
2023-11-04 19:20:25,99.0,74.69
2023-11-04 19:20:35,104.0,88.24
2023-11-04 19:20:45,108.0,73.5
2023-11-04 19:21:05,100.0,75.79
2023-11-04 19:21:15,92.0,72.53
2023-11-04 19:21:25,95.0,85.53
2023-11-04 19:21:35,94.0,76.43
2023-11-04 19:21:45,92.0,74.23
2023-11-04 19:21:55,91.0,64.94
2023-11-04 19:22:05,93.0,73.92
2023-11-04 19:22:25,90.0,74.07
2023-11-04 19:22:35,90.0,86.96
2023-11-04 19:22:45,91.0,71.43
2023-11-04 19:22:55,93.0,79.47
2023-11-04 19:23:05,87.0,75.95
2023-11-04 19:23:15,87.0,86.42
2023-11-04 19:23:25,86.0,73.77
2023-11-04 19:23:35,89.0,81.82
2023-11-04 19:23:55,90.0,83.33
2023-11-04 19:24:05,90.0,75.47
2023-11-04 19:24:15,91.0,89.74
2023-11-04 19:24:25,95.0,82.63
2023-11-04 19:24:35,100.0,66.67
2023-11-04 19:24:45,94.0,79.75
2023-11-04 19:24:55,94.0,85.34
2023-11-04 19:25:05,97.0,84.78
2023-11-04 19:25:15,90.0,88.24
2023-11-04 19:25:25,85.0,86.28
2023-11-04 19:25:35,83.0,69.33
2023-11-04 19:25:45,83.0,79.92
2023-11-04 19:25:55,83.0,81.42
2023-11-04 19:26:05,84.0,68.18
2023-11-04 19:26:15,86.0,79.82
2023-11-04 19:26:25,85.0,78.09
2023-11-04 19:26:35,90.0,85.37
2023-11-04 19:26:45,85.0,71.9
2023-11-04 19:26:55,83.0,78.95
2023-11-04 19:27:05,84.0,69.04
2023-11-04 19:27:15,86.0,81.08
2023-11-04 19:27:35,81.0,83.16
2023-11-04 19:27:45,82.0,81.08
2023-11-04 19:27:55,82.0,84.23
2023-11-04 19:28:05,82.0,70.66
2023-11-04 19:28:15,87.0,78.43
2023-11-04 19:28:25,89.0,76.11
2023-11-04 19:28:35,89.0,80.9
2023-11-04 19:28:45,86.0,82.45
2023-11-04 19:28:55,83.0,84.97
2023-11-04 19:29:05,85.0,96.57
2023-11-04 19:29:15,80.0,77.09
2023-11-04 19:29:25,80.0,88.24
2023-11-04 19:29:35,80.0,85.54
2023-11-04 19:29:45,82.0,81.25
2023-11-04 19:30:05,84.0,86.6
2023-11-04 19:30:15,82.0,84.05
2023-11-04 19:30:25,89.0,71.27
2023-11-04 19:30:35,83.0,83.16
2023-11-04 19:30:45,84.0,78.6
2023-11-04 19:30:55,81.0,72.69
2023-11-04 19:31:05,84.0,86.07
2023-11-04 19:31:15,83.0,81.76
2023-11-04 19:31:25,80.0,78.09
2023-11-04 19:31:35,82.0,79.59
2023-11-04 19:31:45,82.0,82.28
2023-11-04 19:31:55,85.0,68.04
2023-11-04 19:32:05,85.0,72.85
2023-11-04 19:32:15,82.0,85.37
2023-11-04 19:32:35,81.0,80.08
2023-11-04 19:32:45,86.0,78.6
2023-11-04 19:32:55,82.0,72.05
2023-11-04 19:33:05,81.0,78.95
2023-11-04 19:33:15,81.0,84.97
2023-11-04 19:33:25,84.0,88.98
2023-11-04 19:33:35,92.0,65.5
2023-11-04 19:33:45,93.0,69.33
2023-11-04 19:33:55,86.0,77.59
2023-11-04 19:34:05,86.0,69.77
2023-11-04 19:34:15,86.0,77.59
2023-11-04 19:34:25,85.0,90.91
2023-11-04 19:34:35,83.0,77.75
2023-11-04 19:34:45,88.0,81.08
2023-11-04 19:35:05,84.0,85.71
2023-11-04 19:35:15,82.0,89.94
2023-11-04 19:35:25,81.0,91.28
2023-11-04 19:35:35,80.0,83.69
2023-11-04 19:35:45,82.0,78.77
2023-11-04 19:35:55,83.0,79.43
2023-11-04 19:36:05,87.0,80.91
2023-11-04 19:36:15,84.0,91.11
2023-11-04 19:36:25,82.0,79.47
2023-11-04 19:36:35,82.0,80.9
2023-11-04 19:36:45,81.0,85.9
2023-11-04 19:36:55,81.0,86.6
2023-11-04 19:37:05,82.0,84.97
2023-11-04 19:37:15,82.0,96.77
2023-11-04 19:37:35,83.0,76.27
2023-11-04 19:37:45,80.0,69.62
2023-11-04 19:37:55,80.0,74.53
2023-11-04 19:38:05,80.0,72.87
2023-11-04 19:38:15,83.0,75.63
2023-11-04 19:38:25,84.0,74.69
2023-11-04 19:38:35,82.0,75.79
2023-11-04 19:38:45,79.0,73.33
2023-11-04 19:38:55,82.0,78.43
2023-11-04 19:39:05,91.0,88.61
2023-11-04 19:39:15,89.0,76.11
2023-11-04 19:39:25,88.0,77.75
2023-11-04 19:39:35,90.0,79.59
2023-11-04 19:39:45,90.0,85.89
2023-11-04 19:40:05,82.0,79.92
2023-11-04 19:40:15,82.0,79.12
2023-11-04 19:40:25,83.0,81.25
2023-11-04 19:40:35,83.0,81.25
2023-11-04 19:40:45,86.0,74.69
2023-11-04 19:40:55,89.0,80.41
2023-11-04 19:41:05,87.0,66.67
2023-11-04 19:41:15,86.0,80.75
2023-11-04 19:41:25,83.0,67.9
2023-11-04 19:41:35,82.0,79.92
2023-11-04 19:41:45,84.0,83.69
2023-11-04 19:41:55,86.0,94.74
2023-11-04 19:42:05,84.0,76.6
2023-11-04 19:42:15,82.0,70.97
2023-11-04 19:42:35,84.0,70.66
2023-11-04 19:42:45,84.0,71.12
2023-11-04 19:42:55,84.0,74.23
2023-11-04 19:43:05,85.0,87.05
2023-11-04 19:43:15,87.0,79.75
2023-11-04 19:43:25,90.0,71.74
2023-11-04 19:43:35,91.0,77.42
2023-11-04 19:43:45,86.0,77.75
2023-11-04 19:43:55,83.0,80.25
2023-11-04 19:44:05,82.0,78.95
2023-11-04 19:44:15,83.0,83.16
2023-11-04 19:44:25,83.0,87.87
2023-11-04 19:44:35,82.0,74.07
2023-11-04 19:44:45,84.0,78.43
2023-11-04 19:45:15,90.0,79.27
2023-11-04 19:45:25,89.0,80.41
2023-11-04 19:45:35,94.0,84.97
2023-11-04 19:45:45,86.0,76.76
2023-11-04 19:45:55,83.0,72.05
2023-11-04 19:46:05,84.0,83.51
2023-11-04 19:46:15,84.0,79.75
2023-11-04 19:46:25,81.0,72.05
2023-11-04 19:46:35,84.0,71.74
2023-11-04 19:46:45,84.0,85.34
2023-11-04 19:46:55,83.0,81.42
2023-11-04 19:47:05,85.0,68.18
2023-11-04 19:47:15,83.0,87.14
2023-11-04 19:47:25,85.0,79.59
2023-11-04 19:47:45,80.0,79.75
2023-11-04 19:47:55,80.0,89.45
2023-11-04 19:48:05,79.0,69.92
2023-11-04 19:48:15,81.0,74.23
2023-11-04 19:48:25,87.0,74.38
2023-11-04 19:48:35,87.0,76.11
2023-11-04 19:48:45,79.0,91.09
2023-11-04 19:48:55,77.0,89.94
2023-11-04 19:49:05,78.0,78.6
2023-11-04 19:49:15,80.0,82.11
2023-11-04 19:49:25,82.0,79.75
2023-11-04 19:49:35,83.0,75.63
2023-11-04 19:49:45,83.0,87.14
2023-11-04 19:49:55,82.0,90.13
2023-11-04 19:50:05,79.0,80.91
2023-11-04 19:50:25,79.0,82.45
2023-11-04 19:50:35,84.0,76.11
2023-11-04 19:50:45,89.0,85.37
